"filename", "language", "HTML", "TypeScript", "CSS", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\info-modal\info-modal.component.css", "CSS", 0, 0, 44, 0, 0, 0, 9, 53
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\info-modal\info-modal.component.html", "HTML", 37, 0, 0, 0, 0, 0, 12, 49
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\info-modal\info-modal.component.ts", "TypeScript", 0, 66, 0, 0, 0, 0, 17, 83
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\info-unitate-modal\info-unitate-modal.component.css", "CSS", 0, 0, 73, 0, 0, 0, 16, 89
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\info-unitate-modal\info-unitate-modal.component.html", "HTML", 111, 0, 0, 0, 0, 0, 28, 139
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\info-unitate-modal\info-unitate-modal.component.ts", "TypeScript", 0, 123, 0, 0, 0, 0, 31, 154
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\organizare-modal\organizare-modal.component.css", "CSS", 0, 0, 48, 0, 0, 0, 10, 58
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\organizare-modal\organizare-modal.component.html", "HTML", 69, 0, 0, 0, 0, 0, 15, 84
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\organizare-modal\organizare-modal.component.ts", "TypeScript", 0, 71, 0, 0, 0, 0, 31, 102
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\organizareb-modal\organizareb-modal.component.css", "CSS", 0, 0, 48, 0, 0, 0, 10, 58
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\organizareb-modal\organizareb-modal.component.html", "HTML", 76, 0, 0, 0, 0, 0, 16, 92
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\organizareb-modal\organizareb-modal.component.ts", "TypeScript", 0, 72, 0, 0, 0, 0, 26, 98
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\organizarec-modal\organizarec-modal.component.css", "CSS", 0, 0, 48, 0, 0, 0, 9, 57
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\organizarec-modal\organizarec-modal.component.html", "HTML", 97, 0, 0, 0, 0, 0, 17, 114
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\organizarec-modal\organizarec-modal.component.ts", "TypeScript", 0, 73, 0, 0, 0, 0, 23, 96
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\organizared-modal\organizared-modal.component.css", "CSS", 0, 0, 48, 0, 0, 0, 9, 57
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\organizared-modal\organizared-modal.component.html", "HTML", 66, 0, 0, 0, 0, 0, 16, 82
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\organizared-modal\organizared-modal.component.ts", "TypeScript", 0, 72, 0, 0, 0, 0, 28, 100
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\pdf-modal\pdf-modal.component.css", "CSS", 0, 0, 12, 0, 0, 0, 3, 15
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\pdf-modal\pdf-modal.component.html", "HTML", 74, 0, 0, 0, 0, 0, 16, 90
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\pdf-modal\pdf-modal.component.ts", "TypeScript", 0, 128, 0, 0, 0, 0, 52, 180
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\unitati.component.css", "CSS", 0, 0, 80, 0, 0, 0, 16, 96
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\unitati.component.html", "HTML", 81, 0, 0, 0, 0, 0, 15, 96
